index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,age_certification_encoded,imdb_category_encoded
56,ts20678,Saved by the Bell,1,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989.0000000000002,TV-G,23.0,tt0096694,7.1,34854.0,1,0
57,tm117580,She's Gotta Have It,0,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986.0,R,84.0,tt0091939,6.699999999999999,14277.0,4,0
58,tm20712,Eddie Murphy Raw,0,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987.0000000000002,R,93.0,tt0092948,7.6,19646.0,4,0
59,tm130586,Endless Love,0,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981.0,R,116.00000000000001,tt0082329,4.9,8374.0,4,0
60,ts25028,Wheel of Fortune,1,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983.0,TV-G,26.0,tt0072584,6.699999999999999,3126.0,1,0
61,ts23753,Major Dad,1,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989.0000000000002,TV-PG,24.000000000000004,tt0096643,6.4,2866.0,2,0
62,ts2760,Fireman Sam,1,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987.0000000000002,TV-Y,10.0,tt0329829,6.1,1759.0,1,0
63,ts987,Danger Mouse,1,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981.0,TV-Y,14.999999999999998,tt0081848,7.4,3514.0,1,0
66,tm21953,Sam Kinison: Breaking the Rules,0,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987.0000000000002,R,50.0,tt0307403,7.199999999999999,651.0,4,0
68,tm62924,Monty Python Live at the Hollywood Bowl,0,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1981.9999999999998,R,77.0,tt0084352,7.9,15186.0,4,0
91,ts63001,High Risk,1,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988.0,TV-PG,50.0,tt0094478,3.8,6.0,2,0
98,ts20981,Survivor,1,"A reality show contest where sixteen or more castaways split between two or more â€œTribesâ€ are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for â€œImmunityâ€, forcing the other tribe to attend â€œTribal Councilâ€, where they must vote off one of their players.",1999.9999999999998,TV-PG,48.00000000000001,tt0239195,7.4,24368.0,2,0
100,ts21223,PokÃ©mon,1,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a PokÃ©mon Master.",1997.0,TV-Y7,22.0,tt0168366,7.6,172.0,2,0
107,ts5145,The Challenge,1,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998.0000000000002,TV-14,40.0,tt0176095,7.799999999999999,3274.0,3,0
114,ts22193,The Magic School Bus,1,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,1994.0,TV-Y,26.0,tt0108847,7.799999999999999,9708.0,1,0
116,ts20960,Power Rangers,1,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1992.9999999999998,TV-Y7,22.0,tt0106064,6.5,21949.0,2,0
118,ts11397,Adventures of Sonic the Hedgehog,1,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.",1992.9999999999998,TV-Y7,22.0,tt0222518,6.199999999999999,3807.9999999999995,2,0
125,ts22489,Goosebumps,1,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995.0,TV-PG,22.0,tt0111987,7.6,13361.0,2,0
126,ts25252,Yu-Gi-Oh!,1,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",1998.0000000000002,TV-Y,22.0,tt4834194,7.199999999999999,20888.0,1,0
127,ts21034,InuYasha,1,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",1999.9999999999998,TV-14,25.0,tt0290223,7.9,15823.0,3,0
135,tm1822,3 Ninjas Kick Back,0,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994.0,PG,93.0,tt15327306,4.5,9208.0,2,0
145,ts8570,Barney & Friends,1,"Barney & Friends is an American children's television series aimed at children from ages 2 to 5. The series, which first aired on April 6, 1992, features the title character Barney, a purple anthropomorphic Tyrannosaurus rex who conveys educational messages through songs and small dance routines with a friendly, optimistic attitude.

New episodes have not been produced since 2009; however reruns continue to air on various PBS stations.",1992.0,TV-G,28.0,tt0144701,3.8,9955.0,1,0
153,tm56033,Croupier,0,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",1998.0000000000002,R,94.0,tt0159382,7.0,21381.999999999996,4,0
154,tm190486,Teenage Mutant Ninja Turtles III,0,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1992.9999999999998,PG,96.00000000000001,tt0108308,4.7,33128.0,2,0
156,tm117488,The Next Karate Kid,0,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994.0,PG,106.99999999999999,tt0110657,4.5,30138.0,2,0
158,tm191431,Double Team,0,He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.,1997.0,R,93.0,tt0119013,4.7,34127.0,4,0
159,tm17721,Under Suspicion,0,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",1999.9999999999998,R,110.0,tt0164212,6.5,25432.0,4,0
160,ts20939,Moesha,1,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996.0000000000002,TV-PG,21.0,tt0115275,5.699999999999999,3713.0,2,0
161,ts21693,"Sister, Sister",1,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994.0,TV-PG,22.0,tt0108927,6.199999999999999,12535.0,2,0
162,ts22286,Cardcaptor Sakura,1,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998.0000000000002,TV-Y7,25.0,tt0221735,8.0,4936.0,2,0
163,tm190811,Geronimo: An American Legend,0,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1992.9999999999998,PG-13,115.0,tt0107004,6.5,11506.0,3,0
164,tm107659,The Mirror Has Two Faces,0,"Rose Morgan, who still lives with her mother, is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin, a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",1996.0000000000002,PG-13,126.0,tt0117057,6.6,19829.0,3,0
165,ts21581,Girlfriends,1,"Girlfriends is an American comedy-drama sitcom that premiered on September 11, 2000, on UPN and aired on UPN's successor network, The CW, before being cancelled in 2008. The final episode aired on February 11, 2008.

When Girlfriends returned in fall 2007 for its eighth season, it became the longest-running live-action sitcom on network television that was on air that year, as well as one of the highest-rated scripted shows on television among African American adults and women 18-34, including its spin-off The Game.",1999.9999999999998,TV-PG,21.0,tt0247102,7.199999999999999,4482.0,2,0
166,tm7073,Knight Rider 2000,0,"In the future, guns are banned and criminals are frozen for the duration of their sentences. A recent spate of killings involving handguns brings Michael Knight back to fight for justice, but he insists of the help of KITT, his artificially-intelligent car from decades ago. The only problem is that KITT has been deactivated.",1990.9999999999998,G,91.0,tt0102227,4.5,3178.0,1,0
167,tm63514,The Last Days,0,"Five Jewish Hungarians, now U.S. citizens, tell their stories: before March, 1944, when Nazis began to exterminate Hungarian Jews, months in concentration camps, and visiting childhood homes more than 50 years later. An historian, a Sonderkommando, a doctor who experimented on Auschwitz prisoners, and US soldiers who were part of the liberation in April, 1945.",1998.0000000000002,PG-13,87.0,tt0174852,7.9,4247.0,3,0
168,ts20918,The Parkers,1,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999.0,TV-PG,19.0,tt0200353,6.799999999999999,2346.0,2,0
169,tm10811,Heavy,0,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995.0,R,105.00000000000001,tt0113280,6.799999999999999,4921.0,4,0
172,ts18465,Dale's Supermarket Sweep,1,Dale's Supermarket Sweep was a UK game show based on the American Supermarket Sweep TV show format.,1992.9999999999998,TV-G,21.0,tt0962853,7.1,39.0,1,0
173,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,0,"Taped for HBO in August 1998, on the final date of Jerry Seinfeld's tour appearances at New York City's Broadhurst Theater, I'm Telling You for the Last Time presents the standup comedian's so-called ""final"" standup, or at least his final tour with the standup material that made him famous.",1998.0000000000002,G,75.0,tt0500140,7.9,5834.0,1,0
175,tm189171,Wild Tango,0,"A biopic based on the life of one of the pioneer argentine rock stars 'Tanguito'. The movie tells the story of his rise and fall from grace, encompassed in violent times of a military regime.",1992.9999999999998,R,124.0,tt0108291,6.699999999999999,1564.0,4,0
176,tm67635,Kuch Kuch Hota Hai,0,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali.",1998.0000000000002,G,185.0,tt0172684,7.6,51640.0,1,0
177,ts22080,Oggy and the Cockroaches,1,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",1999.0,TV-Y7,8.999999999999998,tt0213363,7.4,4185.0,2,0
178,ts22039,H,1,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Ã‰ric Judor, and produced by Phillippe Berthe, Ã‰douard Molinaro, Jean-Luc Moreau and Charles NÃ©mÃ¨s. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et HÃ´pital.",1998.0000000000002,TV-MA,25.0,tt0173554,7.4,1703.0,4,0
179,tm41525,Herod's Law,0,"Mexico, 1949. The fable of a janitor turned Mayor on a little town lost in the Mexican desert, who gradually realizes how far his new acquainted power and corruption can get him.",1999.0,R,119.99999999999999,tt0221344,7.799999999999999,5943.0,4,0
180,tm7951,Tim Allen: Rewires America,0,This is arguably Tim Allen's best stand-up show ever and this show truly solidified Tim Allen's unique slant on masculinity becoming the backbone for his TV show â€œHome Improvement.â€,1990.9999999999998,PG,29.999999999999996,tt0294967,5.9,195.00000000000003,2,0
181,ts21684,Heartbreak High,1,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994.0,TV-MA,47.0,tt0108800,7.799999999999999,3106.0,4,0
182,tm55100,Dil Se..,0,"Journalist Amar falls for a mysterious woman on an assignment, but she does not reciprocate his feelings. However, when Amar is about to get married, the woman shows up at his doorstep asking for help.",1998.0000000000002,PG-13,163.0,tt0164538,7.5,28409.0,3,0
185,tm8859,Oh Darling! Yeh Hai India!,0,Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,1995.0,G,153.0,tt0114031,4.0,1678.0,1,0
188,tm52083,West Beirut,0,"In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May, a Christian, orphaned and living in his building. By accident, Tarek goes to an infamous brothel in the war-torn Olive Quarter, meeting its legendary madam, Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age, the war moves inexorably from adventure to tragedy.",1998.0000000000002,PG-13,105.00000000000001,tt0157183,7.6,4175.0,3,0
189,tm9898,Muthu,0,"A lavish Maharaja lived with his sister-in-law and stepbrother Rajasekhar, helping people incessantly. His sister-in-law has a son, to whom the Maharaja bequeaths a major portion of his property. At this juncture, a new baby is born to the Maharaja.His wife dies soon after. Brother Rajasekhar cheats the Maharaja as he fears that his son's property might be taken back and given to the Maharaja's own son. When the cheating comes to light, the Maharaja hands over all his property and his baby to his sister-in-law...",1995.0,G,165.0,tt0140399,7.6,3056.0,1,0
192,tm128925,Chamatkar,0,"When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",1992.0,G,171.0,tt0126234,6.5,6199.0,1,0
194,ts28516,Okupas,1,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",1999.9999999999998,TV-MA,40.0,tt0289649,9.0,2326.0,4,0
195,tm62385,Hum Saath Saath Hain,0,"Ramkishen and his wife Mamta have three sons. Prem and Vinod have sweethearts in Preeti and Vivek marries Sangeeta. Since Vivek is Mamta's step-son, she plots to alienate him, but will she succeed?",1999.0,G,177.0,tt0216817,6.199999999999999,8454.0,1,0
196,tm184502,Kabhi Haan Kabhi Naa,0,"A man belongs to a middle-class family and is intent on pursuing his career with a music group, despite his dad's disapproval. He is also in love with the lead singer, but she sees him mainly as a friend.",1994.0,G,158.0,tt0110222,7.6,18224.0,1,0
198,tm27601,Phir Bhi Dil Hai Hindustani,0,"Rival news-reporters, Ajay Bakshi, and Ria Bannerjee engage in a comic war to be the first to interview notorius M.K. Sharma, in which Ria succeeds. Then the two are thrust in a battle for their lives as they must decide whether to save an innocent terrorist from being hanged, or sacrifice their very lives themselves.",1999.9999999999998,PG-13,160.0,tt0222270,6.1,7556.0,3,0
200,tm105716,Chaahat,0,"Roop and his father come to the city for medical treatment where Reshma falls in love with Roop. However, Roop loves Pooja but when Reshma threatens to kill herself, Roop agrees to marry her.",1996.0000000000002,G,155.0,tt0172234,5.5,2837.0,1,0
202,tm189773,Maya Memsaab,0,"A frustrated housewife whose marriage to an average man does not meet her expectations enters into an affair with a younger man. Of course, there are no easy escapes from reality.",1992.9999999999998,PG-13,126.0,tt0137100,5.4,2177.0,3,0
204,tm58893,Duplicate,0,"Seeking vengeance on those who double-crossed him, an escaped prisoner impersonates an unsuspecting chef.",1998.0000000000002,PG,165.0,tt0164550,5.5,7557.0,2,0
207,tm110225,English Babu Desi Mem,0,"Vikram Mayur is looking after his late brother's eight-year-old son and is torn between choosing to take Nandu back to England to learn his family's business, or risk throwing it all way.",1996.0000000000002,PG,172.0,tt0136153,4.5,2322.0,2,0
213,tm184224,Sinbad: Afros and Bellbottoms,0,"Sinbad brings the '70s back with a nostalgic stand-up special dedicated to the films, fashion and other flashbacks from that era.",1992.9999999999998,PG-13,58.99999999999999,tt0938331,7.799999999999999,166.0,3,0
220,tm110160,Avvai Shanmugi,0,"A divorced husband desperately misses his daughter. In order to be with her, he takes up a job in his father-in-law's house. The only catch is that the job is that of a female governess.",1996.0000000000002,PG-13,160.0,tt0139872,7.9,2528.0,3,0
221,tm192301,Minsara Kanavu,0,"Priya decides that she wants to be a nun, much to the horror of her father and Thomas, the boy who is in love with her. Thomas decides to enlist the help of Deva to change her mind.",1997.0,G,145.0,tt0282003,6.699999999999999,1212.0,1,0
231,ts26091,The Staircase,1,"Academy Award-winning documentary filmmaker, Jean-Xavier de Lestrade, presents a gripping courtroom thriller, offering a rare and revealing inside look at a high-profile murder trial. In 2001, author Michael Peterson was arraigned for the murder of his wife Kathleen, whose body was discovered lying in a pool of blood on the stairway of their home. Granted unusual access to Peterson's lawyers, home and immediate family, de Lestrade's cameras capture the defense team as it considers its strategic options. The series is an engrossing look at contemporary American justice that features more twists than a legal bestseller.",2003.9999999999998,TV-MA,48.99999999999999,tt0388644,7.799999999999999,21531.0,4,0
234,ts288536,The Great British Baking Show,1,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,2010.0,TV-PG,57.00000000000001,tt1877368,8.6,9564.0,2,0
238,ts22011,Heartland,1,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?",2007.0000000000002,TV-PG,44.0,tt1094229,8.4,15743.0,2,0
252,ts21511,My Little Pony: Friendship Is Magic,1,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!",2010.0,TV-Y7,22.0,tt1751105,7.6,20708.0,2,0
253,ts19036,The Fairly OddParents,1,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",2001.0,TV-Y7,24.000000000000004,tt0235918,7.199999999999999,38046.0,2,0
255,ts32186,Sonic X,1,Sonic and his friends team up with 12 year old Christopher to collect all the Chaos Emeralds and defeat the evil Dr. Eggman.,2003.0,TV-Y7,21.0,tt0367413,6.1,4577.0,2,0
260,tm78671,Cleaner,0,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.",2007.0000000000002,R,88.0,tt0896798,6.1,41052.00000000001,4,0
270,ts2230,America's Next Top Model,1,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,2003.0,TV-14,44.0,tt0391576,5.6,17843.0,3,0
280,ts22267,Trailer Park Boys,1,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,2001.0,TV-MA,25.0,tt0290988,8.6,41791.0,4,0
285,ts6644,Borgen,1,"40-year old political leader Birgitte Nyborg secures her party a landslide victory through her idealism and huge effort, then faces the biggest challenge of her life: how most effectively to use the newly won seats, and how far she is willing to go in order to gain as much influence as possible.",2010.0,TV-MA,58.00000000000001,tt1526318,8.5,23523.0,4,0
287,ts22018,iCarly,1,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",2007.0000000000002,TV-G,26.0,tt0972534,6.699999999999999,38281.0,1,0
288,ts30311,Victorious,1,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,2010.0,TV-G,25.0,tt1604099,6.9,24224.0,1,0
297,tm82985,Without a Paddle,0,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",2003.9999999999998,PG-13,95.0,tt0364751,5.799999999999999,47049.0,3,0
307,tm44486,Heist,0,"Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman, reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane, and their utility man, Pinky Pincus, find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job.",2001.0,R,106.99999999999999,tt0252503,6.5,36361.0,4,0
308,tm39487,Catch and Release,0,"Gray Wheeler just lost everything. But it could be the best thing that ever happened to her. After the death of her fiancÃ©, Gray moves in with her late love's best friends. While Sam and Dennis do their best to cheer Gray up, Fritz doesn't seem to care. Once Gray breaks through Fritz's defenses, however, she finally sees why her fiancÃ© thought so highly of him. As they spend more time together, Gray learns that her chances for love have not died out with her fiancÃ©. But when some surprise guests show up on their doorstep, it'll take the love of all of her new friends to help Gray learn that life may be messy, but love is messier.",2006.0,PG-13,111.0,tt0395495,5.9,26157.0,3,0
310,ts35155,Gurren Lagann,1,"In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are 2 young men: one named Simon who is shy and naÃ¯ve, and the other named Kamina who believes in the existence of a â€œsurfaceâ€ world above their heads.",2007.0000000000002,TV-14,24.000000000000004,tt0948103,8.3,17024.0,3,0
317,tm22294,Deck the Halls,0,"Determined to unseat Steve Finch's reign as the town's holiday season king, Buddy Hall plasters his house with so many decorative lights that it'll be visible from space! When their wives bond, and their kids follow suit, the two men only escalate their rivalry - and their decorating.",2006.0,PG,93.0,tt0790604,5.0,27797.0,2,0
